pxcor pycor visit-count-red visit-count-blue visit-count-green pcolor
15 1 0 24 18 95
17 0 10 6 13 95
23 9 19 1 6 135
2 17 0 24 4 9.9
10 0 0 12 7 95
21 16 0 13 5 9.9
15 16 2 10 2 95
14 4 0 19 6 95
23 14 1 13 12 9.9
20 15 12 18 6 9.9
4 6 43 5 6 135
1 2 32 0 1 135
13 4 0 16 6 9.9
0 1 15 3 1 9.9
8 17 0 16 18 9.9
16 8 30 12 11 9.9
15 0 1 22 17 95
15 13 0 8 10 9.9
13 0 0 26 4 95
2 14 3 29 16 135
3 8 70 0 2 135
6 19 4 6 3 9.9
4 18 12 11 9 9.9
23 6 69 4 2 9.9
22 11 5 7 4 9.9
21 5 0 44 16 65
13 19 0 18 6 95
11 11 0 1 14 9.9
12 18 0 20 16 95
10 2 0 11 16 95
17 10 13 17 11 9.9
18 11 0 18 3 9.9
7 18 9 14 12 9.9
5 16 0 6 24 9.9
11 20 0 14 9 95
14 17 3 10 7 95
3 17 0 14 2 9.9
23 5 47 0 5 65
18 18 0 8 8 95
5 2 25 8 4 135
23 20 12 3 3 9.9
3 16 7 15 9 135
22 2 5 6 6 65
19 15 18 13 4 9.9
3 18 1 13 2 9.9
22 19 3 1 5 95
24 16 0 19 15 9.9
9 18 10 10 9 9.9
17 8 5 17 11 9.9
21 11 0 6 8 9.9
24 8 60 0 1 9.9
21 20 0 7 3 95
22 12 3 7 14 9.9
2 12 15 22 19 135
24 1 10 0 0 9.9
24 7 59 0 2 135
17 17 9 7 0 95
0 3 51 0 3 135
24 12 9 13 24 135
1 17 0 15 1 9.9
8 14 0 13 28 9.9
12 15 6 10 11 95
19 16 3 9 1 95
3 7 58 1 5 135
22 16 0 12 2 9.9
22 14 1 10 12 9.9
6 3 26 13 11 9.9
4 16 0 3 34 9.9
13 2 0 13 3 95
15 20 5 17 5 95
24 6 29 0 1 135
3 4 27 0 1 135
17 5 0 11 9 65
14 13 2 4 9 9.9
21 2 6 14 16 65
18 19 0 11 10 95
16 3 0 14 14 65
6 17 21 11 6 9.9
10 16 8 9 5 95
21 8 4 3 6 65
8 4 3 20 12 135
17 14 0 9 4 95
0 13 0 18 24 9.9
0 16 0 19 13 9.9
1 8 28 0 0 135
5 0 5 7 12 135
4 8 49 0 2 135
14 5 0 18 6 9.9
8 12 0 6 23 9.9
1 11 48 5 11 135
16 16 0 9 3 95
7 13 0 8 17 9.9
3 10 13 10 8 135
5 13 0 15 14 9.9
22 9 14 5 6 135
0 14 0 22 19 9.9
9 8 21 0 36 135
9 5 4 10 7 9.9
5 8 33 5 6 135
16 11 4 17 12 9.9
5 3 30 9 6 135
23 4 43 0 9 65
22 10 7 6 2 135
18 10 1 17 2 9.9
12 5 0 19 9 9.9
1 14 0 19 9 9.9
24 10 16 10 11 135
1 5 9 5 1 9.9
4 2 8 4 3 135
1 4 12 1 2 135
16 2 10 8 10 95
22 17 0 9 2 95
21 17 2 9 4 95
11 13 1 7 6 9.9
12 16 0 11 11 95
4 15 0 7 29 9.9
14 9 51 17 12 9.9
2 15 4 35 5 135
0 11 18 2 5 135
19 9 0 17 3 9.9
23 17 0 18 7 9.9
11 0 0 17 4 95
7 16 17 11 4 9.9
24 20 20 11 2 9.9
9 13 0 13 19 9.9
12 12 15 0 10 9.9
9 14 0 12 15 9.9
14 20 3 19 8 95
0 5 32 1 3 135
16 10 8 14 12 9.9
4 7 38 6 7 135
22 5 0 20 6 65
13 3 0 14 6 95
3 0 6 2 2 9.9
1 18 0 12 1 9.9
13 8 29 9 7 9.9
13 12 17 4 16 9.9
12 13 7 5 6 9.9
2 8 54 0 0 135
22 6 14 10 7 65
8 11 11 0 21 135
9 10 32 1 21 135
1 6 17 1 1 9.9
7 3 14 14 7 9.9
16 1 17 13 12 95
4 12 0 11 20 9.9
20 5 0 32 21 65
14 18 2 4 7 95
9 3 9 20 11 135
4 3 25 0 5 9.9
9 19 0 7 11 95
7 17 8 11 14 9.9
7 14 0 18 21 9.9
21 12 0 10 20 9.9
14 11 12 9 11 9.9
24 17 0 16 9 9.9
16 7 14 8 10 9.9
21 0 5 11 5 9.9
18 6 0 18 7 65
6 14 0 14 20 9.9
20 3 1 10 20 65
19 14 19 10 7 9.9
3 14 0 26 16 9.9
11 15 5 7 18 9.9
1 3 41 0 3 135
21 9 6 4 5 65
2 1 11 1 2 9.9
17 6 0 9 29 9.9
12 1 0 9 7 95
18 3 0 12 8 65
6 16 6 9 10 9.9
17 18 7 8 3 95
24 4 67 0 4 135
20 9 0 13 5 65
10 8 4 0 31 9.9
6 15 0 13 18 9.9
12 7 1 6 7 9.9
20 11 0 13 6 9.9
2 10 50 7 1 135
11 8 9 1 15 9.9
15 2 0 22 11 95
2 4 29 0 0 135
1 9 27 0 0 9.9
0 10 8 6 1 135
11 12 2 2 11 9.9
11 17 0 11 14 95
2 11 16 19 11 135
16 12 0 14 17 95
13 20 1 20 0 95
8 1 6 7 4 135
12 10 12 6 7 9.9
4 0 5 3 2 135
4 14 0 9 27 9.9
17 9 7 16 17 9.9
4 19 9 10 7 9.9
1 1 4 4 1 9.9
0 15 0 21 16 9.9
14 1 0 33 4 95
4 1 7 4 4 135
14 7 10 8 7 9.9
5 14 0 19 21 9.9
22 7 14 12 7 65
2 18 0 13 0 9.9
6 2 9 11 8 135
18 4 0 18 6 65
10 9 21 0 28 135
8 10 41 0 30 135
4 17 0 5 14 9.9
22 1 13 5 6 9.9
24 0 32 5 2 9.9
1 15 0 22 5 9.9
15 6 11 6 9 9.9
9 0 2 2 7 135
14 14 9 8 11 9.9
7 9 21 0 32 135
7 11 22 0 25 135
16 19 0 9 4 95
2 20 20 5 2 9.9
3 15 1 19 5 135
7 5 9 9 10 9.9
11 5 0 11 4 9.9
1 16 1 17 5 135
19 20 3 9 11 95
21 18 0 6 5 95
5 5 34 8 6 9.9
19 2 4 11 13 65
5 9 12 0 17 9.9
23 2 10 0 5 65
15 4 0 24 6 95
21 13 0 9 11 9.9
8 0 3 5 15 135
2 19 7 4 1 9.9
14 6 1 11 5 9.9
19 7 0 14 9 9.9
15 7 5 7 8 9.9
17 3 0 11 13 65
4 13 0 15 20 9.9
17 1 21 6 8 95
5 12 0 9 13 9.9
6 13 0 12 16 9.9
11 1 0 9 6 95
3 6 27 3 1 135
2 5 28 5 2 9.9
10 11 5 0 16 135
24 14 3 16 14 135
23 0 18 5 3 9.9
23 16 0 20 10 9.9
10 20 0 15 9 95
9 9 40 0 32 135
0 6 19 0 5 135
11 6 0 15 5 9.9
23 18 0 8 7 9.9
11 4 0 10 3 9.9
7 12 8 1 21 135
2 13 17 26 28 135
13 1 0 18 4 95
22 4 2 6 13 65
11 2 0 10 14 95
5 4 32 9 5 9.9
18 5 0 13 6 65
19 8 0 22 4 9.9
18 13 4 5 8 95
8 15 0 17 22 9.9
18 17 1 8 1 95
10 4 2 4 9 9.9
22 18 0 5 6 95
0 8 44 0 0 9.9
11 7 0 10 5 9.9
15 15 5 7 10 9.9
14 3 0 18 5 95
17 2 4 8 7 95
18 9 7 18 8 9.9
5 10 9 6 13 9.9
1 10 30 5 5 135
10 1 0 12 8 95
0 2 29 0 1 135
13 16 1 12 9 95
23 13 5 14 12 135
9 15 0 13 20 9.9
2 16 2 29 9 135
11 16 6 8 16 95
3 12 2 18 31 135
1 7 26 0 0 135
8 9 54 0 32 135
23 11 12 10 12 135
12 11 13 4 16 9.9
18 16 5 6 1 95
9 2 1 8 9 135
2 3 43 0 0 135
24 18 0 11 8 9.9
16 0 6 16 13 95
12 6 0 12 9 9.9
23 8 27 0 3 135
19 0 16 0 7 9.9
18 0 21 4 10 9.9
22 15 0 10 5 9.9
3 3 27 0 2 135
8 20 0 6 17 9.9
6 1 4 5 14 135
9 4 6 11 12 9.9
14 16 7 16 10 95
19 13 12 14 7 9.9
20 13 2 15 8 9.9
10 19 0 9 13 95
19 3 0 10 11 65
18 20 1 9 12 95
13 6 0 16 4 9.9
19 5 0 18 9 65
11 10 3 3 12 9.9
9 16 0 5 13 95
17 19 0 4 1 95
7 0 14 7 9 135
17 4 0 14 12 65
6 5 14 7 4 135
19 4 0 15 12 65
21 6 0 28 13 65
7 1 7 5 2 9.9
20 7 0 22 13 65
12 9 14 9 7 9.9
13 15 19 7 13 95
3 19 10 5 3 9.9
11 3 0 10 7 95
10 14 0 7 11 9.9
24 5 34 0 4 135
5 19 0 10 9 9.9
10 12 0 11 26 9.9
6 6 10 2 5 135
5 17 10 6 2 9.9
21 7 0 21 11 65
5 11 5 6 18 135
15 19 0 5 5 95
5 18 7 8 7 9.9
20 2 9 13 18 65
23 10 25 4 11 135
20 18 1 10 2 95
9 17 4 10 14 95
8 7 18 0 11 9.9
12 4 0 15 5 9.9
0 17 0 13 9 9.9
4 9 36 0 6 135
21 4 0 21 19 65
19 6 0 25 16 65
20 0 19 6 6 9.9
5 20 1 11 7 135
14 0 0 35 10 95
19 10 0 19 2 65
19 12 0 19 9 9.9
20 14 11 15 5 9.9
19 17 3 6 0 95
20 20 2 8 10 95
4 10 20 9 10 135
9 7 8 0 19 9.9
22 8 18 4 6 135
24 3 67 0 5 135
18 7 0 8 9 9.9
3 11 0 17 20 9.9
21 19 0 5 6 95
24 13 8 14 24 135
8 2 9 11 3 135
20 19 0 11 6 9.9
10 17 4 13 12 95
14 10 42 10 9 9.9
23 1 12 1 1 9.9
6 18 17 11 4 9.9
0 7 58 0 4 135
15 11 1 17 11 9.9
19 11 0 19 6 9.9
12 0 0 14 6 95
23 3 37 0 8 65
9 11 10 2 14 135
17 20 1 6 12 95
15 9 36 20 14 9.9
